window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
134352,use [kW](t+25),0.228,159.54,8.907,0.126,0.989,-0.015,0.019,3249,73.49406743049622,5.671283721923828
134352,use [kW](t+30),0.24,156.722,8.89,0.128,0.988,-0.02,0.02,3240,73.49406743049622,5.671283721923828
142749,use [kW](t+5),0.42,181.129,13.806,0.211,0.975,-0.046,0.036,4349,72.27132248878479,5.671283721923828
142749,use [kW](t+10),0.48,147.977,12.953,0.207,0.968,-0.041,0.041,4372,72.27132248878479,5.671283721923828
142749,use [kW](t+15),0.423,194.745,13.523,0.204,0.975,-0.033,0.036,4418,72.27132248878479,5.671283721923828
142749,use [kW](t+20),0.438,146.636,13.076,0.184,0.973,-0.02,0.037,4477,72.27132248878479,5.671283721923828
142749,use [kW](t+25),0.34,112.31,11.399,0.156,0.984,-0.019,0.029,4427,72.27132248878479,5.671283721923828
142749,use [kW](t+30),0.451,199.643,13.685,0.216,0.972,-0.036,0.039,4385,72.27132248878479,5.671283721923828
151146,use [kW](t+5),0.311,27.077,10.595,0.172,0.974,0.014,0.036,3506,72.26534414291382,5.671283721923828
151146,use [kW](t+10),0.354,32.552,11.652,0.203,0.967,-0.015,0.041,3532,72.26534414291382,5.671283721923828
151146,use [kW](t+15),0.334,29.238,10.315,0.182,0.97,0.014,0.039,3539,72.26534414291382,5.671283721923828
151146,use [kW](t+20),0.337,22.187,9.154,0.169,0.969,0.015,0.039,3560,72.26534414291382,5.671283721923828
151146,use [kW](t+25),0.32,24.503,9.385,0.174,0.972,0.016,0.037,3542,72.26534414291382,5.671283721923828
151146,use [kW](t+30),0.396,27.034,9.847,0.19,0.956,-0.004,0.046,3591,72.26534414291382,5.671283721923828
159543,use [kW](t+5),0.493,218.309,21.875,0.345,0.955,-0.144,0.044,6796,73.67143988609314,5.671283721923828
159543,use [kW](t+10),0.561,238.244,22.088,0.371,0.942,-0.134,0.05,6943,73.67143988609314,5.671283721923828
159543,use [kW](t+15),0.658,374.218,21.487,0.389,0.92,-0.155,0.059,6999,73.67143988609314,5.671283721923828
159543,use [kW](t+20),0.648,316.925,23.977,0.427,0.922,-0.175,0.058,7055,73.67143988609314,5.671283721923828
159543,use [kW](t+25),0.738,385.513,24.62,0.467,0.9,-0.149,0.066,6866,73.67143988609314,5.671283721923828
159543,use [kW](t+30),0.605,386.59,22.431,0.396,0.933,-0.144,0.054,7009,73.67143988609314,5.671283721923828
167940,use [kW](t+5),0.202,30.594,11.054,0.116,0.909,-0.032,0.041,3390,72.95668697357178,5.671283721923828
167940,use [kW](t+10),0.202,29.722,10.692,0.115,0.908,-0.067,0.042,3384,72.95668697357178,5.671283721923828
167940,use [kW](t+15),0.174,26.969,10.068,0.104,0.932,-0.033,0.036,3462,72.95668697357178,5.671283721923828
167940,use [kW](t+20),0.244,31.105,9.928,0.109,0.866,-0.049,0.05,3440,72.95668697357178,5.671283721923828
167940,use [kW](t+25),0.226,31.209,10.588,0.117,0.886,-0.05,0.047,3480,72.95668697357178,5.671283721923828
167940,use [kW](t+30),0.203,32.057,10.947,0.117,0.908,-0.06,0.042,3521,72.95668697357178,5.671283721923828
176337,use [kW](t+5),0.178,27.946,9.497,0.111,0.975,-0.018,0.023,2876,70.7823326587677,5.671283721923828
176337,use [kW](t+10),0.182,28.186,9.794,0.114,0.973,-0.025,0.023,2829,70.7823326587677,5.671283721923828
176337,use [kW](t+15),0.278,31.752,10.949,0.145,0.938,-0.014,0.036,2832,70.7823326587677,5.671283721923828
176337,use [kW](t+20),0.248,30.17,10.595,0.136,0.951,-0.027,0.032,2846,70.7823326587677,5.671283721923828
176337,use [kW](t+25),0.224,26.753,9.757,0.12,0.96,-0.004,0.029,2859,70.7823326587677,5.671283721923828
176337,use [kW](t+30),0.251,29.093,10.262,0.132,0.95,-0.012,0.032,2842,70.7823326587677,5.671283721923828
184734,use [kW](t+5),0.06,5.173,2.404,0.034,0.852,0.014,0.006,2510,74.25001335144043,5.671283721923828
184734,use [kW](t+10),0.049,3.949,1.934,0.031,0.854,0.022,0.005,2539,74.25001335144043,5.671283721923828
184734,use [kW](t+15),0.062,5.644,2.667,0.039,0.852,0.006,0.007,2561,74.25001335144043,5.671283721923828
184734,use [kW](t+20),0.045,4.559,2.257,0.032,0.855,0.02,0.005,2577,74.25001335144043,5.671283721923828
184734,use [kW](t+25),0.047,4.711,2.269,0.032,0.855,0.022,0.005,2581,74.25001335144043,5.671283721923828
184734,use [kW](t+30),0.039,4.13,1.992,0.028,0.856,0.012,0.004,2589,74.25001335144043,5.671283721923828
193131,use [kW](t+5),0.091,12.249,5.31,0.047,0.949,-0.021,0.022,3703,73.36130094528198,5.671283721923828
193131,use [kW](t+10),0.065,13.924,5.15,0.04,0.973,-0.037,0.016,3662,73.36130094528198,5.671283721923828
193131,use [kW](t+15),0.074,14.446,5.41,0.044,0.965,-0.034,0.018,3695,73.36130094528198,5.671283721923828
